,pickup_dt,borough,pickups,spd,vsb,temp,dewp,slp,pcp,sd,dayType,month
513,2015-04-13,Queens,7966,4.083333333333333,10.0,57.25,35.375,1025.7750000000003,0.17333333333333303,0.0,Wday,Apr
514,2015-04-13,Staten Island,25,4.083333333333333,10.0,57.25,35.375,1025.7750000000003,0.17333333333333303,0.0,Wday,Apr
515,2015-04-14,Bronx,806,4.6875,10.0,60.71527777777778,41.94444444444445,1020.4708333333334,0.0,0.0,Wday,Apr
516,2015-04-14,Brooklyn,9164,4.6875,10.0,60.71527777777778,41.94444444444445,1020.4708333333334,0.0,0.0,Wday,Apr
517,2015-04-14,Manhattan,46649,4.6875,10.0,60.71527777777778,41.94444444444445,1020.4708333333334,0.0,0.0,Wday,Apr
518,2015-04-14,Queens,6524,4.6875,10.0,60.71527777777778,41.94444444444445,1020.4708333333334,0.0,0.0,Wday,Apr
519,2015-04-14,Staten Island,31,4.6875,10.0,60.71527777777778,41.94444444444445,1020.4708333333334,0.0,0.0,Wday,Apr
520,2015-04-15,Bronx,951,5.0625,10.0,60.75,23.416666666666668,1020.9208333333332,0.0,0.0,Wday,Apr
521,2015-04-15,Brooklyn,10176,5.0625,10.0,60.75,23.416666666666668,1020.9208333333332,0.0,0.0,Wday,Apr
522,2015-04-15,Manhattan,48688,5.0625,10.0,60.75,23.416666666666668,1020.9208333333332,0.0,0.0,Wday,Apr
523,2015-04-15,Queens,6330,5.0625,10.0,60.75,23.416666666666668,1020.9208333333332,0.0,0.0,Wday,Apr
524,2015-04-15,Staten Island,37,5.0625,10.0,60.75,23.416666666666668,1020.9208333333332,0.0,0.0,Wday,Apr
525,2015-04-16,Bronx,1147,6.916666666666667,10.0,58.625,20.166666666666668,1029.2916666666667,0.179333333333333,0.0,Wday,Apr
526,2015-04-16,Brooklyn,11260,6.916666666666667,10.0,58.625,20.166666666666668,1029.2916666666667,0.179333333333333,0.0,Wday,Apr
527,2015-04-16,Manhattan,58370,6.916666666666667,10.0,58.625,20.166666666666668,1029.2916666666667,0.179333333333333,0.0,Wday,Apr
528,2015-04-16,Queens,7355,6.916666666666667,10.0,58.625,20.166666666666668,1029.2916666666667,0.179333333333333,0.0,Wday,Apr
529,2015-04-16,Staten Island,31,6.916666666666667,10.0,58.625,20.166666666666668,1029.2916666666667,0.179333333333333,0.0,Wday,Apr
530,2015-04-17,Bronx,1239,5.8680555555555545,9.52222222222222,59.90972222222222,48.06944444444445,1019.3541666666666,0.0,0.0,Wday,Apr
531,2015-04-17,Brooklyn,12865,5.8680555555555545,9.52222222222222,59.90972222222222,48.06944444444445,1019.3541666666666,0.0,0.0,Wday,Apr
532,2015-04-17,Manhattan,60811,5.8680555555555545,9.52222222222222,59.90972222222222,48.06944444444445,1019.3541666666666,0.0,0.0,Wday,Apr
533,2015-04-17,Queens,7987,5.8680555555555545,9.52222222222222,59.90972222222222,48.06944444444445,1019.3541666666666,0.0,0.0,Wday,Apr
534,2015-04-17,Staten Island,25,5.8680555555555545,9.52222222222222,59.90972222222222,48.06944444444445,1019.3541666666666,0.0,0.0,Wday,Apr
535,2015-04-18,Bronx,1446,3.125,10.0,67.75,43.916666666666664,1013.8791666666666,0.0,0.0,Wend,Apr
536,2015-04-18,Brooklyn,20492,3.125,10.0,67.75,43.916666666666664,1013.8791666666666,0.0,0.0,Wend,Apr
537,2015-04-18,Manhattan,63886,3.125,10.0,67.75,43.916666666666664,1013.8791666666666,0.0,0.0,Wend,Apr
538,2015-04-18,Queens,7758,3.125,10.0,67.75,43.916666666666664,1013.8791666666666,0.0,0.0,Wend,Apr
539,2015-04-18,Staten Island,51,3.125,10.0,67.75,43.916666666666664,1013.8791666666666,0.0,0.0,Wend,Apr
540,2015-04-19,Bronx,1304,8.020833333333334,10.0,59.75,28.208333333333332,1020.9374999999997,0.0,0.0,Wend,Apr
541,2015-04-19,Brooklyn,17763,8.020833333333334,10.0,59.75,28.208333333333332,1020.9374999999997,0.0,0.0,Wend,Apr
542,2015-04-19,Manhattan,52630,8.020833333333334,10.0,59.75,28.208333333333332,1020.9374999999997,0.0,0.0,Wend,Apr
543,2015-04-19,Queens,8686,8.020833333333334,10.0,59.75,28.208333333333332,1020.9374999999997,0.0,0.0,Wend,Apr
544,2015-04-19,Staten Island,33,8.020833333333334,10.0,59.75,28.208333333333332,1020.9374999999997,0.0,0.0,Wend,Apr
545,2015-04-20,Bronx,1006,7.892361111111111,5.934722222222224,50.857638888888886,44.65972222222222,1013.0208333333334,0.01,0.0,Wday,Apr
546,2015-04-20,Brooklyn,11200,7.892361111111111,5.934722222222224,50.857638888888886,44.65972222222222,1013.0208333333334,0.01,0.0,Wday,Apr
547,2015-04-20,Manhattan,58395,7.892361111111111,5.934722222222224,50.857638888888886,44.65972222222222,1013.0208333333334,0.01,0.0,Wday,Apr
548,2015-04-20,Queens,7469,7.892361111111111,5.934722222222224,50.857638888888886,44.65972222222222,1013.0208333333334,0.01,0.0,Wday,Apr
549,2015-04-20,Staten Island,21,7.892361111111111,5.934722222222224,50.857638888888886,44.65972222222222,1013.0208333333334,0.01,0.0,Wday,Apr
550,2015-04-21,Bronx,938,5.977777777777778,5.821666666666666,56.27222222222222,44.8375,1003.0500000000001,0.0,0.0,Wday,Apr
551,2015-04-21,Brooklyn,9651,5.977777777777778,5.821666666666666,56.27222222222222,44.8375,1003.0500000000001,0.0,0.0,Wday,Apr
552,2015-04-21,Manhattan,50427,5.977777777777778,5.821666666666666,56.27222222222222,44.8375,1003.0500000000001,0.0,0.0,Wday,Apr
553,2015-04-21,Queens,7435,5.977777777777778,5.821666666666666,56.27222222222222,44.8375,1003.0500000000001,0.0,0.0,Wday,Apr
554,2015-04-21,Staten Island,31,5.977777777777778,5.821666666666666,56.27222222222222,44.8375,1003.0500000000001,0.0,0.0,Wday,Apr
555,2015-04-22,Bronx,1112,5.673611111111112,9.625,57.916666666666664,33.958333333333336,1006.0041666666667,0.0,0.0,Wday,Apr
556,2015-04-22,Brooklyn,10848,5.673611111111112,9.625,57.916666666666664,33.958333333333336,1006.0041666666667,0.0,0.0,Wday,Apr
